ensemble_weight_ca,val_mae,val_rmse,val_dir_acc,val_bias,val_p90_abs_error,params_json
0.4,2.509137610789849,3.4392735557874374,0.4823529411764706,0.14450049700246803,5.589744000203531,"{""max_depth"": 5, ""learning_rate"": 0.03, ""max_iter"": 500, ""l2_regularization"": 1.0, ""min_samples_leaf"": 40}"
0.4,2.5098623275070113,3.452969721586223,0.48627450980392156,0.14119504710171676,5.634329096052443,"{""max_depth"": 4, ""learning_rate"": 0.05, ""max_iter"": 300, ""l2_regularization"": 0.5, ""min_samples_leaf"": 30}"
0.5,2.5163500292704417,3.450797679781558,0.5176470588235295,0.21760655397518489,5.4470758882266175,"{""max_depth"": 4, ""learning_rate"": 0.05, ""max_iter"": 300, ""l2_regularization"": 0.5, ""min_samples_leaf"": 30}"
0.4,2.5218710352583518,3.4528149301539397,0.49411764705882355,0.17758300485489587,5.5868104441943665,"{""max_depth"": 5, ""learning_rate"": 0.05, ""max_iter"": 400, ""l2_regularization"": 0.5, ""min_samples_leaf"": 30}"
0.5,2.526065901532631,3.4359295530520084,0.4980392156862745,0.22173836635112396,5.622050868817242,"{""max_depth"": 5, ""learning_rate"": 0.03, ""max_iter"": 500, ""l2_regularization"": 1.0, ""min_samples_leaf"": 40}"
0.3,2.5332996641862815,3.4887754728852998,0.4666666666666667,0.06726262765380821,5.63073233553947,"{""max_depth"": 5, ""learning_rate"": 0.03, ""max_iter"": 500, ""l2_regularization"": 1.0, ""min_samples_leaf"": 40}"
0.3,2.53538931467149,3.500244937177253,0.45098039215686275,0.06478354022824445,5.622100071111221,"{""max_depth"": 4, ""learning_rate"": 0.05, ""max_iter"": 300, ""l2_regularization"": 0.5, ""min_samples_leaf"": 30}"
0.3,2.5401605533854754,3.496331052656161,0.46862745098039216,0.09207450854312885,5.706792342887181,"{""max_depth"": 5, ""learning_rate"": 0.05, ""max_iter"": 400, ""l2_regularization"": 0.5, ""min_samples_leaf"": 30}"
0.5,2.5467209117368634,3.4570177735761396,0.503921568627451,0.26309150116665947,5.687458988114047,"{""max_depth"": 5, ""learning_rate"": 0.05, ""max_iter"": 400, ""l2_regularization"": 0.5, ""min_samples_leaf"": 30}"
0.4,2.5580922365624597,3.4910863747270264,0.47843137254901963,0.08807355089830846,5.664407079574586,"{""max_depth"": 3, ""learning_rate"": 0.05, ""max_iter"": 200, ""l2_regularization"": 1.0, ""min_samples_leaf"": 50}"
0.4,2.563173459600286,3.493898528194785,0.46862745098039216,-2.338642323548236e-05,5.602082840934704,"{""max_depth"": 2, ""learning_rate"": 0.05, ""max_iter"": 300, ""l2_regularization"": 1.0, ""min_samples_leaf"": 50}"
0.5,2.5721669210175113,3.4927568189856735,0.4980392156862745,0.1512046837209249,5.538292689235816,"{""max_depth"": 3, ""learning_rate"": 0.05, ""max_iter"": 200, ""l2_regularization"": 1.0, ""min_samples_leaf"": 50}"
0.5,2.573351648028366,3.4924395448048022,0.503921568627451,0.04108351206899455,5.62109389424965,"{""max_depth"": 2, ""learning_rate"": 0.05, ""max_iter"": 300, ""l2_regularization"": 1.0, ""min_samples_leaf"": 50}"
0.3,2.5778930656097216,3.531845628674064,0.4470588235294118,0.02494241807568853,5.583185933354989,"{""max_depth"": 3, ""learning_rate"": 0.05, ""max_iter"": 200, ""l2_regularization"": 1.0, ""min_samples_leaf"": 50}"
0.3,2.585631040186154,3.5362024196208437,0.41568627450980394,-0.04113028491546953,5.46972735140942,"{""max_depth"": 2, ""learning_rate"": 0.05, ""max_iter"": 300, ""l2_regularization"": 1.0, ""min_samples_leaf"": 50}"
